Team,Matches Scouted,Crossed %,Auto Switch,Auto Scale,Auto Exchange,Auto Drop %,Tele Switch,Tele Scale,Tele Opp Switch,Tele Exchange,Tele Drop,Tele Total Switch,Tele Total Cube,Tele Switch and Exchange
3418,9,100.0,0.7777777777777778,0.1111111111111111,0.0,0.0,0.1111111111111111,0.4444444444444444,0.2222222222222222,2.888888888888889,1.0,0.3333333333333333,3.6666666666666665,3.2222222222222223
3596,9,88.88888888888889,0.1111111111111111,0.0,0.0,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.6666666666666666,1.0,0.6666666666666666
3692,7,100.0,0.8571428571428571,0.0,0.0,0.0,0.5714285714285714,0.0,1.2857142857142858,2.5714285714285716,0.7142857142857143,1.8571428571428572,4.428571428571429,4.428571428571429
4247,9,88.88888888888889,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.7777777777777778,0.5555555555555556,0.4444444444444444,1.2222222222222223,1.2222222222222223
4296,10,90.0,0.4,0.0,0.0,0.0,0.6,1.6,0.1,1.7,1.0,0.7,4.0,2.4
4786,9,100.0,0.5555555555555556,0.0,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,5.888888888888889,0.1111111111111111,0.7777777777777778,6.666666666666667,6.666666666666667
4804,9,100.0,0.1111111111111111,0.0,0.0,22.22222222222222,0.3333333333333333,0.3333333333333333,0.0,0.2222222222222222,0.7777777777777778,0.3333333333333333,0.8888888888888888,0.5555555555555556
5096,7,71.42857142857143,0.0,0.0,0.0,0.0,0.2857142857142857,1.2857142857142858,1.1428571428571428,0.42857142857142855,0.2857142857142857,1.4285714285714286,3.142857142857143,1.8571428571428572
5148,11,100.0,0.0,0.0,0.0,0.0,0.45454545454545453,1.0,0.36363636363636365,2.909090909090909,0.7272727272727273,0.8181818181818182,4.7272727272727275,3.727272727272727
5586,9,66.66666666666667,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.5555555555555556,0.0,0.4444444444444444,1.0,1.0
5855,9,44.44444444444444,0.0,0.0,0.0,11.11111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5976,9,77.77777777777777,0.4444444444444444,0.0,0.0,11.11111111111111,1.3333333333333333,0.0,0.7777777777777778,1.7777777777777777,0.5555555555555556,2.111111111111111,3.888888888888889,3.888888888888889
6223,9,100.0,0.0,0.0,0.0,22.22222222222222,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.3333333333333333
6381,8,100.0,0.125,0.0,0.0,12.5,1.125,0.125,0.25,2.75,1.0,1.375,4.25,4.125
6421,9,100.0,0.1111111111111111,0.0,0.0,33.333333333333336,0.8888888888888888,0.4444444444444444,1.0,0.3333333333333333,0.3333333333333333,1.8888888888888888,2.6666666666666665,2.2222222222222223
6574,11,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,3.909090909090909,0.18181818181818182,0.09090909090909091,4.0,4.0
6624,9,88.88888888888889,0.1111111111111111,0.0,0.0,11.11111111111111,0.6666666666666666,1.3333333333333333,0.1111111111111111,0.2222222222222222,2.111111111111111,0.7777777777777778,2.3333333333333335,1.0
6643,8,75.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,2.75,0.0,0.0,2.75,2.75
6651,10,100.0,0.1,0.0,0.0,30.0,2.2,0.0,0.1,1.4,0.7,2.3,3.7,3.7
6670,11,100.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,2.1818181818181817,0.0,0.0,2.1818181818181817,2.1818181818181817
6807,7,85.71428571428571,0.0,0.0,0.0,0.0,0.42857142857142855,0.0,0.0,1.5714285714285714,0.14285714285714285,0.42857142857142855,2.0,2.0
7103,10,100.0,0.1,0.3,0.0,10.0,1.0,1.3,0.1,0.8,1.0,1.1,3.2,1.9
5585,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
84,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,4.0,4.0
6607,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
2476,1,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
